date,anomaly_c,z
1880-01,-0.730000,
1880-02,-0.752000,
1880-03,-0.670000,
1880-04,-0.593000,
1880-05,-0.739000,
1880-06,-0.756000,
1880-07,-0.740262,
1880-08,-0.724000,
1880-09,-0.841000,
1880-10,-0.766000,
1880-11,-0.839000,
1880-12,-0.820000,
1881-01,-0.740000,
1881-02,-0.797271,
1881-03,-0.849000,
1881-04,-0.749000,
1881-05,-0.791000,
1881-06,-0.702000,
1881-07,-0.824000,
1881-08,-0.888000,
1881-09,-0.676000,
1881-10,-0.820000,
1881-11,-0.786000,
1881-12,-0.886000,
1882-01,-0.798500,
1882-02,-0.711000,
1882-03,-0.793000,
1882-04,-0.663000,
1882-05,-0.750000,
1882-06,-0.740000,
1882-07,-0.789000,
1882-08,-0.620000,
1882-09,-0.783000,
1882-10,-0.873000,
1882-11,-0.715000,
1882-12,-0.859000,
1883-01,-0.719000,
1883-02,-0.866000,
1883-03,-0.800000,
1883-04,-0.670000,
1883-05,-0.630000,
1883-06,-0.692000,
1883-07,-0.740000,
1883-08,-0.928000,
1883-09,-1.040000,
1883-10,-0.985000,
1883-11,-0.960000,
1883-12,-0.816000,
1884-01,-0.898000,
1884-02,-1.040000,
1884-03,-0.854000,
1884-04,-0.893639,
1884-05,-0.932000,
1884-06,-0.850000,
1884-07,-0.859344,
1884-08,-0.869000,
1884-09,-1.028000,
1884-10,-0.992000,
1884-11,-0.933000,
1884-12,-0.862000,
1885-01,-0.753000,
1885-02,-0.755627,
1885-03,-0.758000,
1885-04,-0.758000,
1885-05,-0.603000,
1885-06,-0.659918,
1885-07,-0.715000,
1885-08,-0.653000,
1885-09,-0.722000,
1885-10,-0.808000,
1885-11,-0.707377,
1885-12,-0.610000,
1886-01,-0.710000,
1886-02,-0.553000,
1886-03,-0.869000,
1886-04,-0.586000,
1886-05,-0.650000,
1886-06,-0.699000,
1886-07,-0.691000,
1886-08,-0.882000,
1886-09,-0.758000,
1886-10,-0.718000,
1886-11,-0.620000,
1886-12,-0.761000,
1887-01,-0.758000,
1887-02,-0.708000,
1887-03,-0.575000,
1887-04,-0.615000,
1887-05,-0.618934,
1887-06,-0.623000,
1887-07,-0.680000,
1887-08,-0.635000,
1887-09,-0.786000,
1887-10,-0.762000,
1887-11,-0.759000,
1887-12,-0.826000,
1888-01,-0.659000,
1888-02,-0.636000,
1888-03,-0.638000,
1888-04,-0.694410,
1888-05,-0.749000,
1888-06,-0.690000,
1888-07,-0.705000,
1888-08,-0.766000,
1888-09,-0.728902,
1888-10,-0.693000,
1888-11,-0.688000,
1888-12,-0.684000,
1889-01,-0.652000,
1889-02,-0.653000,
1889-03,-0.781000,
1889-04,-0.622000,
1889-05,-0.621000,
1889-06,-0.446000,
1889-07,-0.683000,
1889-08,-0.670000,
1889-09,-0.712000,
1889-10,-0.808000,
1889-11,-0.616000,
1889-12,-0.628000,
1890-01,-0.668500,
1890-02,-0.709000,
1890-03,-0.505000,
1890-04,-0.722000,
1890-05,-0.568000,
1890-06,-0.460000,
1890-07,-0.736000,
1890-08,-0.726000,
1890-09,-0.690000,
1890-10,-0.744000,
1890-11,-0.821000,
1890-12,-0.672000,
1891-01,-0.736000,
1891-02,-0.588000,
1891-03,-0.680000,
1891-04,-0.475000,
1891-05,-0.670000,
1891-06,-0.648000,
1891-07,-0.581000,
1891-08,-0.625500,
1891-09,-0.670000,
1891-10,-0.741311,
1891-11,-0.815000,
1891-12,-0.652000,
1892-01,-0.620000,
1892-02,-0.553000,
1892-03,-0.695000,
1892-04,-0.694000,
1892-05,-0.641869,
1892-06,-0.588000,
1892-07,-0.616000,
1892-08,-0.632000,
1892-09,-0.648770,
1892-10,-0.665000,
1892-11,-0.652000,
1892-12,-0.714000,
1893-01,-0.481000,
1893-02,-0.581000,
1893-03,-0.681000,
1893-04,-0.525000,
1893-05,-0.662000,
1893-06,-0.596443,
1893-07,-0.533000,
1893-08,-0.715000,
1893-09,-0.590000,
1893-10,-0.640000,
1893-11,-0.599000,
1893-12,-0.494000,
1894-01,-0.640000,
1894-02,-0.654000,
1894-03,-0.644034,
1894-04,-0.633000,
1894-05,-0.579000,
1894-06,-0.563000,
1894-07,-0.593000,
1894-08,-0.573000,
1894-09,-0.655000,
1894-10,-0.546000,
1894-11,-0.480951,
1894-12,-0.418000,
1895-01,-0.559000,
1895-02,-0.652000,
1895-03,-0.650000,
1895-04,-0.518000,
1895-05,-0.581000,
1895-06,-0.523000,
1895-07,-0.566000,
1895-08,-0.634000,
1895-09,-0.714000,
1895-10,-0.697279,
1895-11,-0.680000,
1895-12,-0.631803,
1896-01,-0.582000,
1896-02,-0.673000,
1896-03,-0.540000,
1896-04,-0.516000,
1896-05,-0.623000,
1896-06,-0.560000,
1896-07,-0.633279,
1896-08,-0.709000,
1896-09,-0.610000,
1896-10,-0.596000,
1896-11,-0.550000,
1896-12,-0.530000,
1897-01,-0.584000,
1897-02,-0.638000,
1897-03,-0.502000,
1897-04,-0.495000,
1897-05,-0.500000,
1897-06,-0.519311,
1897-07,-0.538000,
1897-08,-0.520000,
1897-09,-0.548000,
1897-10,-0.579000,
1897-11,-0.648000,
1897-12,-0.543000,
1898-01,-0.640000,
1898-02,-0.571000,
1898-03,-0.546322,
1898-04,-0.519000,
1898-05,-0.346000,
1898-06,-0.698000,
1898-07,-0.518000,
1898-08,-0.726000,
1898-09,-0.652000,
1898-10,-0.533000,
1898-11,-0.610000,
1898-12,-0.680000,
1899-01,-0.585000,
1899-02,-0.490000,
1899-03,-0.581000,
1899-04,-0.498000,
1899-05,-0.520000,
1899-06,-0.590000,
1899-07,-0.391000,
1899-08,-0.536000,
1899-09,-0.766000,
1899-10,-0.595000,
1899-11,-0.655000,
